            TIME               X               Y               Z              BX              BY              BZ             BMM         COMMENT
  1483228800.000          -2.586          -0.000          -1.463        1018.585           0.036        -192.299        1036.578    -           
  1483228800.000          -2.576          -0.000          -1.464        1029.011           0.038        -189.477        1046.311    -           
  1483228800.000          -2.566          -0.000          -1.466        1039.554           0.040        -186.598        1056.168    -           
  1483228800.000          -2.556          -0.000          -1.468        1050.216           0.042        -183.659        1066.154    -           
  1483228800.000          -2.547          -0.000          -1.470        1060.997           0.043        -180.660        1076.268    -           
  1483228800.000          -2.537          -0.000          -1.471        1071.901           0.045        -177.599        1086.514    -           
  1483228800.000          -2.527          -0.000          -1.473        1082.928           0.047        -174.476        1096.894    -           
  1483228800.000          -2.517          -0.000          -1.474        1094.082           0.049        -171.288        1107.409    -           
  1483228800.000          -2.507          -0.000          -1.476        1105.362           0.051        -168.036        1118.062    -           
  1483228800.000          -2.497          -0.000          -1.478        1116.772           0.052        -164.717        1128.854    -           
  1483228800.000          -2.487          -0.000          -1.479        1128.314           0.054        -161.331        1139.789    -           
  1483228800.000          -2.477          -0.000          -1.480        1139.989           0.056        -157.875        1150.869    -           
  1483228800.000          -2.468          -0.000          -1.482        1151.799           0.058        -154.349        1162.095    -           
  1483228800.000          -2.458          -0.000          -1.483        1163.746           0.060        -150.751        1173.470    -           
  1483228800.000          -2.448          -0.000          -1.484        1175.833           0.062        -147.080        1184.996    -           
  1483228800.000          -2.438          -0.000          -1.485        1188.061           0.064        -143.334        1196.676    -           
  1483228800.000          -2.428          -0.000          -1.487        1200.433           0.066        -139.512        1208.513    -           
  1483228800.000          -2.418          -0.000          -1.488        1212.951           0.068        -135.612        1220.509    -           
  1483228800.000          -2.408          -0.000          -1.489        1225.617           0.070        -131.633        1232.666    -           
  1483228800.000          -2.398          -0.000          -1.490        1238.434           0.072        -127.573        1244.987    -           
  1483228800.000          -2.388          -0.000          -1.491        1251.403           0.074        -123.430        1257.476    -           
  1483228800.000          -2.378          -0.000          -1.492        1264.527           0.077        -119.204        1270.134    -           
  1483228800.000          -2.368          -0.000          -1.493        1277.809           0.079        -114.891        1282.964    -           
  1483228800.000          -2.358          -0.000          -1.494        1291.251           0.081        -110.491        1295.970    -           
  1483228800.000          -2.348          -0.000          -1.494        1304.855           0.083        -106.002        1309.153    -           
  1483228800.000          -2.338          -0.000          -1.495        1318.624           0.086        -101.421        1322.519    -           
  1483228800.000          -2.328          -0.000          -1.496        1332.560           0.088         -96.747        1336.068    -           
  1483228800.000          -2.318          -0.000          -1.497        1346.667           0.090         -91.979        1349.805    -           
  1483228800.000          -2.308          -0.000          -1.497        1360.947           0.092         -87.114        1363.732    -           
  1483228800.000          -2.298          -0.000          -1.498        1375.402           0.095         -82.149        1377.853    -           
  1483228800.000          -2.288          -0.000          -1.499        1390.035           0.097         -77.084        1392.171    -           
  1483228800.000          -2.278          -0.000          -1.499        1404.850           0.100         -71.917        1406.690    -           
  1483228800.000          -2.268          -0.000          -1.500        1419.849           0.102         -66.644        1421.412    -           
  1483228800.000          -2.258          -0.000          -1.500        1435.035           0.105         -61.264        1436.342    -           
  1483228800.000          -2.248          -0.000          -1.500        1450.411           0.107         -55.774        1451.483    -           
  1483228800.000          -2.238          -0.000          -1.501        1465.980           0.110         -50.173        1466.838    -           
  1483228800.000          -2.228          -0.000          -1.501        1481.745           0.112         -44.458        1482.412    -           
  1483228800.000          -2.218          -0.000          -1.501        1497.710           0.115         -38.627        1498.208    -           
  1483228800.000          -2.208          -0.000          -1.502        1513.877           0.118         -32.677        1514.230    -           
  1483228800.000          -2.198          -0.000          -1.502        1530.251           0.121         -26.606        1530.482    -           
  1483228800.000          -2.188          -0.000          -1.502        1546.834           0.123         -20.411        1546.968    -           
  1483228800.000          -2.178          -0.000          -1.502        1563.629           0.126         -14.089        1563.693    -           
  1483228800.000          -2.168          -0.000          -1.502        1580.641           0.129          -7.639        1580.660    -           
  1483228800.000          -2.158          -0.000          -1.502        1597.873           0.132          -1.057        1597.874    -           
  1483228800.000          -2.148          -0.000          -1.502        1615.329           0.135           5.659        1615.339    -           
  1483228800.000          -2.138          -0.000          -1.502        1633.012           0.138          12.513        1633.060    -           
  1483228800.000          -2.128          -0.000          -1.502        1650.926           0.141          19.507        1651.042    -           
  1483228800.000          -2.118          -0.000          -1.502        1669.076           0.144          26.644        1669.288    -           
  1483228800.000          -2.108          -0.000          -1.502        1687.464           0.147          33.928        1687.805    -           
  1483228800.000          -2.098          -0.000          -1.502        1706.095           0.150          41.361        1706.596    -           
  1483228800.000          -2.088          -0.000          -1.501        1724.974           0.153          48.946        1725.668    -           
  1483228800.000          -2.078          -0.000          -1.501        1744.103           0.156          56.687        1745.024    -           
  1483228800.000          -2.068          -0.000          -1.501        1763.489           0.159          64.588        1764.671    -           
  1483228800.000          -2.058          -0.000          -1.500        1783.135           0.163          72.651        1784.614    -           
  1483228800.000          -2.048          -0.000          -1.500        1803.045           0.166          80.880        1804.858    -           
  1483228800.000          -2.038          -0.000          -1.499        1823.224           0.169          89.279        1825.409    -           
  1483228800.000          -2.028          -0.000          -1.499        1843.678           0.173          97.852        1846.273    -           
  1483228800.000          -2.018          -0.000          -1.498        1864.410           0.176         106.602        1867.455    -           
  1483228800.000          -2.009          -0.000          -1.498        1885.425           0.180         115.533        1888.961    -           
  1483228800.000          -1.999          -0.000          -1.497        1906.729           0.183         124.649        1910.799    -           
  1483228800.000          -1.989          -0.000          -1.496        1928.326           0.187         133.954        1932.973    -           
  1483228800.000          -1.979          -0.000          -1.496        1950.222           0.191         143.452        1955.491    -           
  1483228800.000          -1.969          -0.000          -1.495        1972.423           0.194         153.148        1978.359    -           
